,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_selector__score_func,params
15,0.9118329466357309,0.9106728538283063,0.8955916473317865,0.9105691056910569,0.8966318234610917,0.9050603528319405,0.007326909058133185,4,1.1069332599639892,0.03279636843150553,0.04481616020202637,0.006384854405025946,258,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 258), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
16,0.9071925754060325,0.9037122969837587,0.894431554524362,0.9070847851335656,0.8861788617886179,0.8997214484679665,0.008212536676791931,31,24.415734910964964,0.22226710337628255,0.03801784515380859,0.007988130585953204,212,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 212), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
17,0.9071925754060325,0.9106728538283063,0.8967517401392111,0.908246225319396,0.8908246225319396,0.9027390900649953,0.007626856127441309,19,0.7072433948516845,0.029031703983439648,0.04200892448425293,0.013006758307195172,134,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 134), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
18,0.91415313225058,0.9071925754060325,0.894431554524362,0.9012775842044135,0.8954703832752613,0.9025069637883009,0.007401258992803713,23,25.377910947799684,0.20264952243769654,0.058913660049438474,0.008572720765867226,160,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 160), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
19,0.9048723897911833,0.9106728538283063,0.9025522041763341,0.9105691056910569,0.8977932636469221,0.9052924791086351,0.004912707800928602,3,0.7956364154815674,0.03873718649579989,0.04301881790161133,0.007747956986939116,166,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 166), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
20,0.9002320185614849,0.91415313225058,0.8967517401392111,0.9105691056910569,0.8896631823461092,0.9022748375116063,0.008983799461045827,24,0.597780990600586,0.03922699887865581,0.0388331413269043,0.008279986204792747,91,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 91), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
21,0.9060324825986079,0.9095127610208816,0.8967517401392111,0.908246225319396,0.8885017421602788,0.9018105849582173,0.00801471295618102,26,1.1989506721496581,0.04847920646319727,0.045022201538085935,0.006324111621629971,277,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 277), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
22,0.9211136890951276,0.91415313225058,0.8921113689095128,0.9059233449477352,0.8861788617886179,0.903899721448468,0.0131039814239535,10,29.266157388687134,0.11754095117166641,0.06016483306884766,0.01581931729806789,257,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 257), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
23,0.9071925754060325,0.8839907192575406,0.8909512761020881,0.9001161440185831,0.8861788617886179,0.893686165273909,0.00873696060835416,45,31.512103414535524,0.17067371922603422,0.057269620895385745,0.012375733449458045,50,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 50), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
24,0.8839907192575406,0.8816705336426914,0.8700696055684455,0.8792102206736353,0.8699186991869918,0.8769730733519034,0.005895039786844723,49,0.3821422100067139,0.016506557982271176,0.03207859992980957,0.010330721542972099,10,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 10), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
