,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_base_estimator,param_learning_rate,param_n_estimators,params
12,0.953519256308101,0.9335106382978723,0.9335106382978723,0.9468085106382979,0.9361702127659575,0.9407072587077905,0.008070584864852879,1,14.189352989196777,0.09368093407243336,0.4371135711669922,0.05128105042625785,SAMME.R,DecisionTreeClassifier(max_depth=2),0.3389796114285923,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.3389796114285923), ('n_estimators', 500)])"
13,0.950863213811421,0.9228723404255319,0.9308510638297872,0.9348404255319149,0.9321808510638298,0.934325977133741,0.009185409193569782,4,14.598889875411988,0.1887177461952147,0.4994056701660156,0.053912451064285494,SAMME.R,DecisionTreeClassifier(max_depth=2),0.38726455067283233,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.38726455067283233), ('n_estimators', 500)])"
14,0.9362549800796812,0.9361702127659575,0.9162234042553191,0.9308510638297872,0.9295212765957447,0.929805902685456,0.00731760588619441,9,17.928539085388184,0.15336010800610161,0.7216834545135498,0.057703099401772304,SAMME.R,DecisionTreeClassifier(max_depth=2),0.1474549622671088,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.1474549622671088), ('n_estimators', 500)])"
15,0.9482071713147411,0.925531914893617,0.9242021276595744,0.9308510638297872,0.9335106382978723,0.9324647700079766,0.008580075546057013,6,19.522735834121704,0.2505623002290339,0.673677921295166,0.0908244275671025,SAMME.R,DecisionTreeClassifier(max_depth=2),0.5004897007729058,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.5004897007729058), ('n_estimators', 500)])"
16,0.9322709163346613,0.9242021276595744,0.9082446808510638,0.9308510638297872,0.9029255319148937,0.9197022068598777,0.0119605210550602,13,18.068425273895265,0.12304199595557216,0.6562878608703613,0.03298773855633963,SAMME,DecisionTreeClassifier(max_depth=2),1.0,500,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 1.0), ('n_estimators', 500)])"
17,0.8472775564409031,0.8537234042553191,0.800531914893617,0.851063829787234,0.8324468085106383,0.8370114331294869,0.019664028700556665,24,17.034495735168456,0.12118432358928301,0.7039533138275147,0.014109380499059595,SAMME,DecisionTreeClassifier(max_depth=2),0.010088219261621073,487,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.010088219261621073), ('n_estimators', 487)])"
18,0.953519256308101,0.9242021276595744,0.9281914893617021,0.9401595744680851,0.9361702127659575,0.9364530709917576,0.010233867665975432,2,17.947239303588866,0.12874647701766032,0.8187304496765136,0.021323382361929065,SAMME.R,DecisionTreeClassifier(max_depth=2),0.4619068013929739,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.4619068013929739), ('n_estimators', 500)])"
19,0.9070385126162018,0.9029255319148937,0.8856382978723404,0.8962765957446809,0.8882978723404256,0.8960382876894443,0.00820537712475382,18,1.6063397884368897,0.03646313465189276,0.033785772323608396,0.01107047729513243,SAMME,DecisionTreeClassifier(max_depth=2),0.9828561251505257,53,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.9828561251505257), ('n_estimators', 53)])"
20,0.9468791500664011,0.9281914893617021,0.9215425531914894,0.9295212765957447,0.9242021276595744,0.9300717894177081,0.00887465694070796,8,16.79831643104553,0.1581412522180884,0.5717884063720703,0.019401695329184596,SAMME.R,DecisionTreeClassifier(max_depth=2),0.9543761043336633,494,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.9543761043336633), ('n_estimators', 494)])"
21,0.9442231075697212,0.925531914893617,0.9308510638297872,0.9401595744680851,0.9281914893617021,0.9337942036692369,0.007178773956116762,5,15.49577612876892,0.08586411127322982,0.5011693954467773,0.031092895698401086,SAMME.R,DecisionTreeClassifier(max_depth=2),0.3528283872647465,500,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.3528283872647465), ('n_estimators', 500)])"
22,0.9269588313413014,0.9321808510638298,0.913563829787234,0.9281914893617021,0.9202127659574468,0.9242222813081628,0.006575916790886622,11,16.39122576713562,0.15476783448208442,0.5204599380493165,0.03518925481304552,SAMME.R,DecisionTreeClassifier(max_depth=2),0.07594571931183683,499,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.07594571931183683), ('n_estimators', 499)])"
23,0.9362549800796812,0.9175531914893617,0.9228723404255319,0.9401595744680851,0.9414893617021277,0.9316671098112205,0.00965506942021821,7,9.809237289428712,0.14506453504348002,0.3803816795349121,0.02308305499378958,SAMME.R,DecisionTreeClassifier(max_depth=2),0.9910014599830838,314,"OrderedDict([('algorithm', 'SAMME.R'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.9910014599830838), ('n_estimators', 314)])"
24,0.699867197875166,0.7300531914893617,0.6928191489361702,0.7180851063829787,0.7047872340425532,0.7091199149162457,0.013330822353033555,25,1.5179268836975097,0.03493763466305498,0.06984972953796387,0.013240479868384013,SAMME,DecisionTreeClassifier(max_depth=2),0.01084171412267199,55,"OrderedDict([('algorithm', 'SAMME'), ('base_estimator', DecisionTreeClassifier(max_depth=2)), ('learning_rate', 0.01084171412267199), ('n_estimators', 55)])"
