,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_grow_policy,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,params
10,0.9442231075697212,0.9375,0.9375,0.9428191489361702,0.9295212765957447,0.9383142781175219,0.005174203842591029,9,17.146012115478516,1.7604723180747963,0.06086540222167969,0.007391554529862933,1.0,5,Depthwise,737,25,0.9055354844954393,0.7105268946089112,"OrderedDict([('bagging_temperature', 1.0), ('depth', 5), ('grow_policy', 'Depthwise'), ('iterations', 737), ('l2_leaf_reg', 25), ('learning_rate', 0.9055354844954393), ('random_strength', 0.7105268946089112)])"
11,0.9468791500664011,0.9401595744680851,0.9454787234042553,0.9468085106382979,0.9295212765957447,0.9417708056367987,0.006600698440604713,5,17.15556869506836,0.08848610922928818,0.0530036449432373,0.004737395087344059,0.0,4,SymmetricTree,1000,2,0.18309975670586923,1e-09,"OrderedDict([('bagging_temperature', 0.0), ('depth', 4), ('grow_policy', 'SymmetricTree'), ('iterations', 1000), ('l2_leaf_reg', 2), ('learning_rate', 0.18309975670586923), ('random_strength', 1e-09)])"
12,0.949535192563081,0.9481382978723404,0.9361702127659575,0.9428191489361702,0.9321808510638298,0.9417708056367987,0.006712433327114489,5,138.6472456932068,0.9050727963714166,0.05628185272216797,0.008008401786589646,0.3857912587016109,8,SymmetricTree,890,13,0.02663997594783509,0.0013587806243299597,"OrderedDict([('bagging_temperature', 0.3857912587016109), ('depth', 8), ('grow_policy', 'SymmetricTree'), ('iterations', 890), ('l2_leaf_reg', 13), ('learning_rate', 0.02663997594783509), ('random_strength', 0.0013587806243299597)])"
13,0.9269588313413014,0.9335106382978723,0.9175531914893617,0.9348404255319149,0.9215425531914894,0.9268811486306834,0.006674704579273695,15,50.86036643981934,1.5578509977224364,0.05335578918457031,0.004645527838806952,0.8376564147647141,6,Depthwise,965,30,0.01710717201562783,0.002165743654724664,"OrderedDict([('bagging_temperature', 0.8376564147647141), ('depth', 6), ('grow_policy', 'Depthwise'), ('iterations', 965), ('l2_leaf_reg', 30), ('learning_rate', 0.01710717201562783), ('random_strength', 0.002165743654724664)])"
14,0.952191235059761,0.9507978723404256,0.9375,0.9428191489361702,0.9335106382978723,0.9433661260303111,0.007279941639092693,2,497.25254435539244,3.616800335721817,0.08388724327087402,0.05926678864532489,0.0,10,SymmetricTree,802,2,0.01,1e-09,"OrderedDict([('bagging_temperature', 0.0), ('depth', 10), ('grow_policy', 'SymmetricTree'), ('iterations', 802), ('l2_leaf_reg', 2), ('learning_rate', 0.01), ('random_strength', 1e-09)])"
15,0.9269588313413014,0.9321808510638298,0.9148936170212766,0.925531914893617,0.910904255319149,0.9220951874501463,0.007927599886290665,17,1.4436628341674804,0.17516606005939442,0.045305299758911136,0.012597773627683126,0.03208393025350409,9,Depthwise,10,13,1.0,1e-09,"OrderedDict([('bagging_temperature', 0.03208393025350409), ('depth', 9), ('grow_policy', 'Depthwise'), ('iterations', 10), ('l2_leaf_reg', 13), ('learning_rate', 1.0), ('random_strength', 1e-09)])"
16,0.9442231075697212,0.9481382978723404,0.9428191489361702,0.9481382978723404,0.9281914893617021,0.9423025791013029,0.007363723958049278,4,25.800106477737426,3.6045749120492276,0.062402534484863284,0.010635805313108605,0.0803250892965603,6,Lossguide,780,6,1.0,1e-09,"OrderedDict([('bagging_temperature', 0.0803250892965603), ('depth', 6), ('grow_policy', 'Lossguide'), ('iterations', 780), ('l2_leaf_reg', 6), ('learning_rate', 1.0), ('random_strength', 1e-09)])"
17,0.9455511288180611,0.9388297872340425,0.9361702127659575,0.9375,0.9295212765957447,0.9375166179207658,0.005139398076159696,11,28.60860891342163,1.888873218705239,0.05900816917419434,0.0149944517075628,0.0,7,Lossguide,558,30,1.0,1e-09,"OrderedDict([('bagging_temperature', 0.0), ('depth', 7), ('grow_policy', 'Lossguide'), ('iterations', 558), ('l2_leaf_reg', 30), ('learning_rate', 1.0), ('random_strength', 1e-09)])"
18,0.8140770252324038,0.8430851063829787,0.8297872340425532,0.8377659574468085,0.8257978723404256,0.8300983780909332,0.010029250915357491,20,5.0231614112854,0.04927789202890991,0.05248904228210449,0.007195373271244823,0.5091895962745072,1,SymmetricTree,806,25,0.01,1e-09,"OrderedDict([('bagging_temperature', 0.5091895962745072), ('depth', 1), ('grow_policy', 'SymmetricTree'), ('iterations', 806), ('l2_leaf_reg', 25), ('learning_rate', 0.01), ('random_strength', 1e-09)])"
19,0.9548472775564409,0.9454787234042553,0.9401595744680851,0.9454787234042553,0.9361702127659575,0.9444296729593193,0.006281270162350917,1,47.49377918243408,3.223470509912226,0.0689173698425293,0.006437247164107257,1.0,7,Lossguide,1000,2,0.08990632833514402,1e-09,"OrderedDict([('bagging_temperature', 1.0), ('depth', 7), ('grow_policy', 'Lossguide'), ('iterations', 1000), ('l2_leaf_reg', 2), ('learning_rate', 0.08990632833514402), ('random_strength', 1e-09)])"
