,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params
10,0.9433126660761736,0.9450354609929078,0.9228723404255319,0.9370753323485967,0.010065413275177982,8,2.5847713947296143,0.04570524171288617,0.0,0.0,0.0016977912697108048,0.6575885452158127,1e-09,0.0007995608661965814,0.25147981966018296,18,0,54,0.7458203043402781,"OrderedDict([('alpha', 0.0016977912697108048), ('colsample_bytree', 0.6575885452158127), ('gamma', 1e-09), ('lambda', 0.0007995608661965814), ('learning_rate', 0.25147981966018296), ('max_depth', 18), ('min_child_weight', 0), ('n_estimators', 54), ('subsample', 0.7458203043402781)])"
11,0.9468556244464128,0.9441489361702128,0.9299645390070922,0.9403249630723781,0.007407200647570066,2,3.3281941413879395,0.02860084902247493,0.017375071843465168,0.0007844933402827742,1e-09,0.2981799375028149,0.28710322683568446,5.3113695309489613e-08,0.04609059532779136,15,0,88,0.7857060312634936,"OrderedDict([('alpha', 1e-09), ('colsample_bytree', 0.2981799375028149), ('gamma', 0.28710322683568446), ('lambda', 5.3113695309489613e-08), ('learning_rate', 0.04609059532779136), ('max_depth', 15), ('min_child_weight', 0), ('n_estimators', 88), ('subsample', 0.7857060312634936)])"
12,0.9477413640389726,0.9352836879432624,0.9290780141843972,0.937370753323486,0.007761376015709324,6,3.755745013554891,0.040560022393645014,0.0053984324137369795,0.007634536335061359,1e-09,0.6371368198334453,0.3275608908485882,0.0007233837978607776,0.09922252317066112,15,0,85,0.5,"OrderedDict([('alpha', 1e-09), ('colsample_bytree', 0.6371368198334453), ('gamma', 0.3275608908485882), ('lambda', 0.0007233837978607776), ('learning_rate', 0.09922252317066112), ('max_depth', 15), ('min_child_weight', 0), ('n_estimators', 85), ('subsample', 0.5)])"
13,0.933569530558016,0.9335106382978723,0.9202127659574468,0.9290989660265879,0.006282146186988931,15,7.6337255636851,0.10859036612478441,0.017925580342610676,0.0021152783550186832,1.157200578309662e-09,0.7194946582359325,0.2748628149361352,1e-09,0.016635498192824706,19,0,91,0.8877298269414046,"OrderedDict([('alpha', 1.157200578309662e-09), ('colsample_bytree', 0.7194946582359325), ('gamma', 0.2748628149361352), ('lambda', 1e-09), ('learning_rate', 0.016635498192824706), ('max_depth', 19), ('min_child_weight', 0), ('n_estimators', 91), ('subsample', 0.8877298269414046)])"
14,0.8724534986713907,0.8838652482269503,0.875,0.8771048744460856,0.004891026454810145,27,1.6786670684814453,0.008010059987577952,0.016373395919799805,9.440894066440263e-05,1.296065823287918e-08,0.4222447762674374,0.0008747657253375493,1000.0,0.1090131768441602,9,0,100,0.8449909091389127,"OrderedDict([('alpha', 1.296065823287918e-08), ('colsample_bytree', 0.4222447762674374), ('gamma', 0.0008747657253375493), ('lambda', 1000.0), ('learning_rate', 0.1090131768441602), ('max_depth', 9), ('min_child_weight', 0), ('n_estimators', 100), ('subsample', 0.8449909091389127)])"
15,0.9131975199291408,0.9051418439716312,0.8945035460992907,0.9042836041358937,0.007656423842384833,24,1.6667101383209229,0.018317020362834547,0.020415306091308594,0.0029961351669424347,7.934412940869852e-06,0.41005274089151533,0.0019053580986592349,1e-09,0.024292609385763244,15,10,100,0.7506445904381651,"OrderedDict([('alpha', 7.934412940869852e-06), ('colsample_bytree', 0.41005274089151533), ('gamma', 0.0019053580986592349), ('lambda', 1e-09), ('learning_rate', 0.024292609385763244), ('max_depth', 15), ('min_child_weight', 10), ('n_estimators', 100), ('subsample', 0.7506445904381651)])"
16,0.9424269264836138,0.9388297872340425,0.9317375886524822,0.9376661742983752,0.004441076896169925,4,3.310890515645345,0.0665263205062634,0.017157951990763348,0.0045813449119367165,1e-09,0.8132301951601386,0.49999999999999994,1e-09,0.17901661413576733,16,1,100,0.5,"OrderedDict([('alpha', 1e-09), ('colsample_bytree', 0.8132301951601386), ('gamma', 0.49999999999999994), ('lambda', 1e-09), ('learning_rate', 0.17901661413576733), ('max_depth', 16), ('min_child_weight', 1), ('n_estimators', 100), ('subsample', 0.5)])"
17,0.8485385296722764,0.8661347517730497,0.8537234042553191,0.8561299852289512,0.00738286195986484,28,0.5109565258026123,0.01575921242040541,0.0,0.0,0.0012431646706834362,0.31173866469761147,0.003095024938685327,1000.0,0.17069795346643746,8,5,57,0.883644258308731,"OrderedDict([('alpha', 0.0012431646706834362), ('colsample_bytree', 0.31173866469761147), ('gamma', 0.003095024938685327), ('lambda', 1000.0), ('learning_rate', 0.17069795346643746), ('max_depth', 8), ('min_child_weight', 5), ('n_estimators', 57), ('subsample', 0.883644258308731)])"
18,0.9176262178919398,0.9157801418439716,0.9024822695035462,0.9119645494830133,0.0067457380038947025,21,0.7370856602986654,0.015278625955785188,0.017617464065551758,0.0006204016100803602,2.8493270322754613e-09,0.18378137734010597,0.012910583929848916,1e-09,0.0290399495369899,15,2,62,0.5143922843378194,"OrderedDict([('alpha', 2.8493270322754613e-09), ('colsample_bytree', 0.18378137734010597), ('gamma', 0.012910583929848916), ('lambda', 1e-09), ('learning_rate', 0.0290399495369899), ('max_depth', 15), ('min_child_weight', 2), ('n_estimators', 62), ('subsample', 0.5143922843378194)])"
19,0.9424269264836138,0.9361702127659575,0.925531914893617,0.934711964549483,0.006974479196009093,10,5.655359983444214,0.10891233927853415,0.016817251841227215,0.0015876544265612618,1e-09,0.618392398406727,0.02350714669115194,1e-09,0.03609706180639491,16,0,100,0.8277461518846518,"OrderedDict([('alpha', 1e-09), ('colsample_bytree', 0.618392398406727), ('gamma', 0.02350714669115194), ('lambda', 1e-09), ('learning_rate', 0.03609706180639491), ('max_depth', 16), ('min_child_weight', 0), ('n_estimators', 100), ('subsample', 0.8277461518846518)])"
